Type                                  Module                      Label             Process   
vector<pat::Jet>                      "slimmedJetsAK8"            ""                "MINI"    
vector<pat::Jet>                      "slimmedJetsPuppi"          ""                "MINI"    
vector<pat::Jet>                      "slimmedJetsAK8PFPuppiSoftDropPacked"   "SubJets"         "MINI"    
vector<pat::MET>                      "slimmedMETs"               ""                "MINI"    
vector<pat::MET>                      "slimmedMETsNoHF"           ""                "MINI"    
vector<pat::MET>                      "slimmedMETsPuppi"          ""                "MINI"    
vector<pat::Muon>                     "slimmedMuons"              ""                "MINI"    
vector<pat::PackedCandidate>          "lostTracks"                ""                "MINI"    
vector<pat::PackedCandidate>          "packedPFCandidates"        ""                "MINI"    
vector<pat::PackedCandidate>          "lostTracks"                "eleTracks"       "MINI"    
vector<pat::Photon>                   "slimmedOOTPhotons"         ""                "MINI"    
vector<pat::Photon>                   "slimmedPhotons"            ""                "MINI"    
vector<pat::Tau>                      "slimmedTaus"               ""                "MINI"    
vector<pat::Tau>                      "slimmedTausBoosted"        ""                "MINI"    
vector<pat::TriggerObjectStandAlone>    "slimmedPatTrigger"         ""                "MINI"    
vector<reco::CaloCluster>             "reducedEgamma"             "reducedEBEEClusters"   "MINI"    
vector<reco::CaloCluster>             "reducedEgamma"             "reducedESClusters"   "MINI"    
vector<reco::CaloCluster>             "reducedEgamma"             "reducedOOTEBEEClusters"   "MINI"    
vector<reco::CaloCluster>             "reducedEgamma"             "reducedOOTESClusters"   "MINI"    
vector<reco::CaloJet>                 "slimmedCaloJets"           ""                "MINI"    
vector<reco::Conversion>              "reducedEgamma"             "reducedConversions"   "MINI"    
vector<reco::Conversion>              "reducedEgamma"             "reducedSingleLegConversions"   "MINI"    
vector<reco::DeDxHitInfo>             "isolatedTracks"            ""                "MINI"    
vector<reco::ForwardProton>           "ctppsProtons"              "multiRP"         "MINI"    
vector<reco::ForwardProton>           "ctppsProtons"              "singleRP"        "MINI"    
vector<reco::GsfElectronCore>         "reducedEgamma"             "reducedGedGsfElectronCores"   "MINI"    
vector<reco::GsfTrack>                "reducedEgamma"             "reducedGsfTracks"   "MINI"    
vector<reco::PhotonCore>              "reducedEgamma"             "reducedGedPhotonCores"   "MINI"    
vector<reco::PhotonCore>              "reducedEgamma"             "reducedOOTPhotonCores"   "MINI"    
vector<reco::SuperCluster>            "reducedEgamma"             "reducedOOTSuperClusters"   "MINI"    
vector<reco::SuperCluster>            "reducedEgamma"             "reducedSuperClusters"   "MINI"    
vector<reco::Track>                   "TrackFilter"               "seed"            "MINI"    
vector<reco::TrackExtra>              "slimmedMuonTrackExtras"    ""                "MINI"    
vector<reco::Vertex>                  "offlineSlimmedPrimaryVertices"   ""                "MINI"    
vector<reco::VertexCompositePtrCandidate>    "slimmedKshortVertices"     ""                "MINI"    
vector<reco::VertexCompositePtrCandidate>    "slimmedLambdaVertices"     ""                "MINI"    
vector<reco::VertexCompositePtrCandidate>    "slimmedSecondaryVertices"   ""                "MINI"    
vector<string>                        "slimmedPatTrigger"         "filterLabels"    "MINI"    
unsigned int                          "bunchSpacingProducer"      ""                "MINI"    
